UI_20150317_000001	{@st41b}เรียนรู้ Attributes{nl}จาก Masters ของแต่ละสายอาชีพ{/}
UI_20150317_000002	{@st43}รายชื่อ Attribute{/}
UI_20150317_000003	{@st59}ปิดรายชื่อ Attribute{/}
UI_20150317_000004	{@st43}เรียนรู้ Attributes{/}
UI_20150317_000005	{@st59}ปิดหน้าต่าง Attributes{/}
UI_20150317_000006	{@st41b}เงิน{/}
UI_20150317_000007	My Achievements
UI_20150317_000008	Server Ranking
UI_20150317_000009	{@st59}An unexpected event is available.{/}
UI_20150317_000010	{@st59}มีข้อความช่วยเหลือใหม่ !{/}
UI_20150317_000011	{@st41}คุณแน่ใจหรือไม่ว่าต้องการสร้างลูกธนูชนิดนี้?{/}
UI_20150317_000012	{@st41b}ครั้งเดียว{/}
UI_20150317_000013	{@st41b}ทั้งหมด{/}
UI_20150317_000014	{@st41b}หยุดชั่วคราว{/}
UI_20150317_000015	{@st43}บันทึกการผจญภัย{/}
UI_20150317_000016	{@st43}Auction House{/}
UI_20150317_000017	{@st59}ปิด Auction House{/}
UI_20150317_000018	{memo X}{@st41b}ขายItems Sold : ×%s, Items Unsold : ×%s{/}
UI_20150317_000019	{@st43}{s22}Item Auction{/}
UI_20150317_000020	{@st59}ปิดหน้าต่างรายละเอียด Quest{/}
UI_20150317_000021	Availest
UI_20150317_000022	{@st41b}เวลาที่เหลือ
UI_20150317_000023	3 ชั่วโมง 16 นาที
UI_20150317_000024	{@st41b}ราคาเริ่มต้น
UI_20150317_000025	{@st41b}Bids
UI_20150317_000026	{@st41b}ราคาปัจจุบัน
UI_20150317_000027	{@st41b}ราคาประมูล
UI_20150317_000028	{@st41b}ราคาประมูลขั้นต่ำ เริ่มต้นที่{@st57}%s{@st41b}silver{/}
UI_20150317_000029	{@st41b}ประมูล{/}
UI_20150317_000030	{@st43b}ซื้อเลย!{nl}{img icon_item_silver 20 20}{@st57}%s{/}
UI_20150317_000031	{@st44}Permission Settings{/}
UI_20150317_000032	{@st45}ชื่อ: %s{/}
UI_20150317_000033	{@st45}คลังสมบัติของปาร์ตี้{/}
UI_20150317_000034	{@st49}None
UI_20150317_000035	{@st49}ร้านค้า
UI_20150317_000036	{@st49}ได้รับ
UI_20150317_000037	{@st45}สำรวจ{/}
UI_20150317_000038	{@st49}สร้าง
UI_20150317_000039	{@st49}ลบ
UI_20150317_000040	{@st44}บันทึก{/}
UI_20150317_000041	{@st44}ยกเลิก{/}
UI_20150317_000042	{@st43}{s22}ร้านทำผม{/}
UI_20150317_000043	{@st59}ทรงผมก่อนหน้า{/}
UI_20150317_000044	{@st59}ทรงผมถัดไป{/}
UI_20150317_000045	{@st41b} เปลี่ยนป็น {s18} (ต้องการ 100 iCoins) {/}
UI_20150317_000046	{@st59}เปลี่ยนทรงผมเรียบร้อยแล้ว{/}
UI_20150317_000047	{@st41}ยกเลิก
UI_20150317_000048	{@st43}คลาดมืด{/}
UI_20150317_000049	ชื่อหนังสือ
UI_20150317_000050	{@St59}หยุดอ่าน{/}
UI_20150317_000051	{@st59}หน้าที่แล้ว{/}
UI_20150317_000052	{@st59}หน้าถัดไป{/}
UI_20150317_000053	{@st47}%s ปรากฎ!
UI_20150317_000054	{@st43}คะแนน{/}
UI_20150317_000055	ได้รับความเสียหาย
UI_20150317_000056	Technique Bonus
UI_20150317_000057	Evasion Bonus
UI_20150317_000058	Clear Time
UI_20150317_000059	คะแนนรวม
UI_20150317_000060	{@st42}เวลาที่ใช้
UI_20150317_000061	10 นาที
UI_20150317_000062	10 วินาที
UI_20150317_000063	{memo X}{@st44}เสร็จสมบูรณ์
UI_20150317_000064	{@st59}ปิด Vending Machine{/}
UI_20150317_000065	{@st43}Buff Vending Machine
UI_20150317_000066	Vending Machine Name
UI_20150317_000067	{memo X}{@st43}ลงทะเบียน
UI_20150317_000068	{memo X}{@st43}ยกเลิก
UI_20150317_000069	Buff Vending Machine
UI_20150317_000070	{@st59}ปิด Buff Vending Machine.
UI_20150317_000071	{@st59}Buff Vending Machine{nl} - ท่านสามารถจ่าย silver เพื่อรับ Buff จากผู้เล่นคนอื่น
UI_20150317_000072	Carriage Menu
UI_20150317_000073	{ol}{s22}Disembark{/}
UI_20150317_000074	Casting
UI_20150317_000075	{@st43}ตั้งค่าเกม{/}
UI_20150317_000076	{@st64}ใช้ปุ่มลูกศรเพื่อเลือก Cell!
UI_20150317_000077	{@st43}รายละเอียดการเปลี่ยนอาชีพ{/}
UI_20150317_000078	{@st43}เลือกอาชีพ
UI_20150317_000079	Psychokinesist
UI_20150317_000080	{@st42}%s Circle {/}
UI_20150317_000081	จำนวนรอบ circles
UI_20150317_000082	แสดงรายละเอียดโดยย่อของ Class
UI_20150317_000083	{memo X}{@st41b}โจมตี {@sti7}%s{/}
UI_20150317_000084	{memo X}{@st41b}สนับสนุน {@sti7}%s{/}
UI_20150317_000085	{memo X}{@st41b}ความยาก{@sti7}%s{/}
UI_20150317_000086	{@st59}ปิดหน้าต่างรายละเอียด Class{/}
UI_20150317_000087	แจ้งเตื่อนการเปลี่ยน Class
UI_20150317_000088	{@st43} เปลี่ยนอาชีพ
UI_20150317_000089	{@sti7}{s14} ตัวละคร {/}
UI_20150317_000090	{@sti8}{s14} Class {/}
UI_20150317_000091	{@st44}Chat{/}
UI_20150317_000092	ส่งถึง WWWWWWWW และอีก 1 คน
UI_20150317_000093	{memo X}ทั่วไป: /s <ข้อความ> {nl} ตะโกน: /y <ข้อความ> {nl} ปาร์ตี้: /p <ข้อความ>{nl} กระซิบ: /w <ชื่อทีม> <ข้อความ>
UI_20150317_000094	{@st41}Chat ทั้งหมด{/}
UI_20150317_000095	{@59}ออก{/}
UI_20150317_000096	{@59}เชิญ{/}
UI_20150317_000097	{@st59}ทั้งหมด{/}
UI_20150317_000098	{@st59}ทั่วไป (/s <ข้อความ>){/}
UI_20150317_000099	{@st59}ตะโกน (/y <ข้อความ>){/}
UI_20150317_000100	{@st59}ปาร์ตี้ (/p <ข้อความ>){/}
UI_20150317_000101	{@st59}กระซิบ (/w <ชื่อ Team> <ข้อความ>){/}
UI_20150317_000102	{@st59}ปรับแต่งหน้าต่างพูดคุย{/}
UI_20150317_000103	{@st43}{s22}Chat มาโคร{/}
UI_20150317_000104	{@st43}มาโคร{/}
UI_20150317_000105	{@st59b}มาโคร {nl} {@st59s} - วิธีใช้งาน: {1. ลาก Gesture icon ใส่เข้าไปที่ Gesture slots ใดๆ ที่ด้านล่าง{nl} 2. เขียนถ้อยคำของคุณและทำการบันทึก{nl} 3. ใช้ Shortcut key เพื่อใช้ถ้อยคำและทำท่าทางพร้อมกัน{/}
UI_20150317_000106	{@st59}ปิดมาโคร{/}
UI_20150317_000107	{@st41b}บันทึก {/}
UI_20150317_000108	{@st59}บันทึกการเปลี่ยนแปลง{/}
UI_20150317_000109	{@st41b}ยกเลิก {/}
UI_20150317_000110	{@st59}ยกเลิกการเปลี่ยนแปลง{/}
UI_20150317_000111	{@st42}ตั้งค่า Chat
UI_20150317_000112	{@st42}ความโปร่งใส
UI_20150317_000113	แสดง chat balloon
UI_20150317_000114	แสดงข้อความ ตะโกน อยู่บนสุด
UI_20150317_000115	{@st43}Cheat List{/}
UI_20150317_000116	{memo X}{@st42b}ไอเท็ม{/}
UI_20150317_000117	{memo X}{@st42b}มอนสเตอร์{/}
UI_20150317_000118	{memo X}{@st42b}เลื่อนแผนที่{/}
UI_20150317_000119	{memo X}{@st42b}Combat Order{/}
UI_20150317_000120	{@st41b}ปิด{/}
UI_20150317_000121	{s16}{b}สร้าง Item โดยการคลิกที่ปุ่มสร้างหรือคลิกสองครั้ง
